UniqueNumb	item	subitem	name	Main1	Emb1	cond11	cond12	adv1
101	a	1	Mads	Jeg sætter mig ofte bagerst i bussen.	Mads siger, at...	Bridge	Reflexive	ofte
103	a	2	Anna	Jeg sminker mig aldrig på hverdage.	Anna siger, at...	Bridge	Reflexive	aldrig
105	a	3	Mads	Jeg barberer mig altid om morgenen.	Mads siger, at...	Bridge	Reflexive	altid
107	a	4	Mads	Jeg kører ofte bil til arbejde.	Mads siger, at...	Bridge	NonReflexive	ofte
109	a	5	Oscar	Jeg kommer aldrig for sent på arbejde.	Oscar siger, at...	Bridge	NonReflexive	aldrig
111	a	6	Mads	Jeg lytter altid til radioen i bilen.	Mads siger, at...	Bridge	NonReflexive	altid
203	a	8	Oscar	Jeg lægger mig ofte til at sove inden midnat.	Oscar er stolt af, at...	Non-Bridge	Reflexive	ofte
205	a	9	Mads	Jeg opfører mig altid ordentligt i skolen.	Mads er stolt af, at...	Non-Bridge	Reflexive	altid
307	a	16	Oscar	Cykler Mads altid til arbejde?	Oscar spurgte, om...	VtoI	NonReflexive	altid
311	a	18	Oscar	Går Anna aldrig ud om lørdagen?	Oscar spurgte, om...	VtoI	NonReflexive	aldrig
102	1	b	Anna	Jeg sætter mig ofte bagerst i bussen.	Anna siger, at...	Bridge	Reflexive	ofte
104	2	b	Ellen	Jeg sminker mig aldrig på hverdage.	Ellen siger, at...	Bridge	Reflexive	aldrig
106	3	b	Oscar	Jeg barberer mig altid om morgenen.	Oscar siger, at...	Bridge	Reflexive	altid
108	4	b	Anna	Jeg kører ofte bil til arbejde.	Anna siger, at...	Bridge	NonReflexive	ofte
110	5	b	Ellen	Jeg kommer aldrig for sent på arbejde.	Ellen siger, at...	Bridge	NonReflexive	aldrig
112	6	b	Anna	Jeg lytter altid til radioen i bilen.	Anna siger, at...	Bridge	NonReflexive	altid
204	8	b	Ellen	Jeg lægger mig ofte til at sove inden midnat.	Ellen er stolt af, at...	Non-Bridge	Reflexive	ofte
212	12	b	Ellen	Jeg kommer aldrig for sent i skole.	Ellen er stolt af, at...	Non-Bridge	NonReflexive	aldrig
302	13	b	Anna	Sætter Oscar sig altid forrest i klassen?	Anna spurgte, om...	VtoI	Reflexive	altid
312	18	b	Ellen	Går Anna aldrig ud om lørdagen?	Ellen spurgte, om...	VtoI	NonReflexive	aldrig
403	a	20	Oscar	Hvor mange elever kom til forelæsningen?	Oscar ville vide ...	EmbSubQ	NonReflexive	none
407	a	22	Oscar	Hvilke bands spillede på festivalen i weekenden?	Oscar spurgte, ...	EmbSubQ	NonReflexive	none
