type	UniqueNumber	Word.order	Realization1
Read	101		Jeg sætter mig ofte bagerst i bussen.
Read	102		Jeg sætter mig ofte bagerst i bussen.
Read	103		Jeg sminker mig aldrig på hverdage.
Read	104		Jeg sminker mig aldrig på hverdage.
Read	105		Jeg barberer mig altid om morgenen.
Read	106		Jeg barberer mig altid om morgenen.
Read	107		Jeg kører ofte bil til arbejde.
Read	108		Jeg kører ofte bil til arbejde.
Read	109		Jeg kommer aldrig for sent på arbejde.
Read	110		Jeg kommer aldrig for sent på arbejde.
Read	111		Jeg lytter altid til radioen i bilen.
Read	112		Jeg lytter altid til radioen i bilen.
Read	203		Jeg lægger mig ofte til at sove inden midnat.
Read	204		Jeg lægger mig ofte til at sove inden midnat.
Read	205		Jeg opfører mig altid ordentligt i skolen.
Read	212		Jeg kommer aldrig for sent i skole.
Read	302		Sætter Oscar sig altid forrest i klassen?
Read	307		Cykler Mads altid til arbejde?
Read	311		Går Anna aldrig ud om lørdagen?
Read	312		Går Anna aldrig ud om lørdagen?
Read	403		Hvor mange elever kom til forelæsningen?
Read	404		Hvor mange elever kom til forelæsningen?
Read	407		Hvilke bands spillede på festivalen i weekenden?
Read	408		Hvilke bands spillede på festivalen i weekenden?
Read	409		Hvor mange elever er der på den skole?
Read	410		Hvor mange elever er der på den skole?
Read	505		Hvor mange fisk fik Elias?
Read	506		Hvor mange fisk fik Elias?
Read	507		Hvilke film så Mads i går?
Read	508		Hvilke film så Mads i går?
Read	509		Hvilken slags fugl var det?
Read	510		Hvilken slags fugl var det?
Read	601		Jeg har glemt mine nøgler derhjemme.
Read	602		Jeg har glemt mine nøgler derhjemme.
Read	603		Mads har været syg hele ugen.
Read	605		Turen i morgen er aflyst.
Read	607		Tyskland er større end Frankrig.
Read	608		Tyskland er større end Frankrig.
Read	610		Månen er lavet af ost.
Read	612		Det har været mange turister på Bornholm i sommer.
Read	651		Mads sagde, at han havde glemt sine nøgler derhjemme.
Read	652		Anna sagde, at hun havde glemt sine nøgler derhjemme.
Read	653		Oscar hævder, at Mads har været syg hele ugen.
Read	654		Oscar hævder, at Anna har været syg hele ugen.
Read	655		Mads hævder, at turen i morgen er aflyst.
Read	656		Oscar hævder, at månen er lavet af ost.
Read	657		Oscar hævder, at Tyskland er større end Frankrig.
Read	659		Mads hævder, at turen i morgen er aflyst.
Read	701		Jonas spurgte, hvem der lavede maden.
Read	702		Ellen spurgte, hvem der lavede maden.
Read	703		Anna spurgte, hvad der blev sagt til mødet.
Read	704		Mads spurgte, hvad der blev sagt til mødet.
Read	711		Jonas spurgte, hvor mange hold der deltog i turneringen.
Read	712		Eirik spurgte, hvor mange hold der deltog i turneringen.
Read	713		Ellen spurgte, hvilke bøger der var spændende.
Read	714		Anna spurgte, hvilke bøger der var spændende.
Read	715		Jonas spurgte, hvad hun arbejdede på.
Read	751		Jonas spurgte, hvornår Elias flyttede til Oslo.
Read	752		Ellen spurgte, hvad han arbejdede på.
Read	753		Ellen spurgte, hvem Anna går i klasse med.
Read	754		Anna spurgte, hvem Ellen går i klasse med.
Read	755		Ellen spurgte, hvordan han gjorde det. 
