type	UniqueNumber	Word.order	Realization1
Read	101		Lærarin skundaði sær heim úr arbeiðinum í gjár.
Read	102		Hann skundaði sær heim úr arbeiðinum í gjár.
Read	103		Sjónleikarin vendi sær knappliga í móti áskoðarunum.
Read	104		Hann vendi sær knappliga í móti áskoðarunum.
Read	105		Bakarin vaskaði sær beint aftan á arbeiðstíð í gjár.
Read	106		Hann vaskaði sær beint aftan á arbeiðstíð í gjár.
Read	107		Løgreglumaðurin setti seg í hin bilin aftan á fundin.
Read	108		Hon setti seg í hin bilin aftan á fundin.
Read	109		Venjarin rakar sær aftan á arbeiðstíð hvønn dag.
Read	110		Hann rakar sær aftan á arbeiðstíð hvønn dag.
Read	111		Lærarin gav mær eina nýggja bók í gjár.
Read	112		Bakarin gav mær nýtt breyð hvønn dag. 
Read	113		Juristurin bjóðaði mær eitt nýtt starv í síðstu viku.
Read	114		Sjónleikarin sendi mær long brøv hvønn dag.
Read	115		Politisturin vísti mær eina mynd av bilinum aftan á fundin.
Read	116		Lærarin tók ikki bussin til arbeiðis í gjár.
Read	117		Hon tók ikki bussin til arbeiðis í gjár.
Read	118		Politisturin bíðaði ikki eftir starvsfelaga sínum í gjár.
Read	119		Hann bíðaði ikki eftir starvsfelaga sínum í gjár.
Read	120		Bakarin kom ikki ov seint hvønn dag í síðstu viku.
Read	121		Hann kom ikki ov seint hvønn dag í síðstu viku.
Read	122		Næmingurin fór ikki heim til foreldrini í fjør.
Read	123		Hon fór ikki heim til foreldrini í fjør.
Read	124		Juristurin fann ikki lykilin til skrivstovuna í gjár.
Read	125		Hann fann ikki lykilin til skrivstovuna í gjár.
Read	126		Næmingurin ruddaði upp í køkinum í gjár
Read	127		Hann ruddaði upp í køkinum í gjár
Read	128		Tann besti rennarin gav upp í síðstu rundu í fjør.
Read	129		Hann gav upp í síðstu rundu í fjør.
Read	130		Umleið túsund berlinbúgvar komu saman á torginum í gjár.
Read	131		Teir komu saman á torginum í gjár.
Read	132		Tað nýggja tíðarritið kom út tvær ferðir í fjør.
Read	133		Tað kom út tvær ferðir í fjør.
Read	134		Tríggir málningar duttu niður í stóra salinum í gjár.
Read	135		Teir komu saman á torginum í gjár.
Read	136		Tvey fólk brunnu inni í Oslo í gjár.
Produce	101	SR	Í gjár skundaði lærarin sær heim úr arbeiðinum.
Produce	101	RS	Í gjár skundaði sær lærarin heim úr arbeiðinum.
Produce	102	SR	Í gjár skundaði hann sær heim úr arbeiðinum.
Produce	102	RS	Í gjár skundaði sær hann heim úr arbeiðinum.
Produce	103	SR	Knappliga vendi sjónleikarin sær í móti áskoðarunum.
Produce	103	RS	Knappliga vendi sær sjónleikarin í móti áskoðarunum.
Produce	104	SR	Knappliga vendi hann sær í móti áskoðarunum.
Produce	104	RS	Knappliga vendi sær hann í móti áskoðarunum.
Produce	105	SR	Í gjár vaskaði bakarin sær beint aftan á arbeiðstíð.
Produce	105	RS	Í gjár vaskaði sær bakarin beint aftan á arbeiðstíð.
Produce	106	SR	Í gjár vaskaði hann sær beint aftan á arbeiðstíð.
Produce	106	RS	Í gjár vaskaði sær hann beint aftan á arbeiðstíð.
Produce	107	SR	Aftan á fundin setti løgreglumaðurin seg í hin bilin.
Produce	107	RS	Aftan á fundin setti seg løgreglumaðurin í hin bilin.
Produce	108	RS	Aftan á fundin setti seg hon í hin bilin.
Produce	108	SR	Aftan á fundin setti hon seg í hin bilin.
Produce	109	RS	Hvønn dag rakar sær venjarin aftan á arbeiðstíð.
