type	UniqueNumber	Word.order	Realization1
Read	103		Leikarinn sneri sér skyndilega í átt að áhorfendum.
Read	104		Hann sneri sér skyndilega í átt að áhorfendum.
Read	105		Bakarinn þvoði sér strax eftir vinnu í gær. 
Read	106		Hann þvoði sér strax eftir vinnu í gær. 
Read	107		Lögreglumaðurinn lagði sig í sófanum eftir fundinn.
Read	108		Hún lagði sig í sófanum eftir fundinn.
Read	109		Lögfræðingurinn rakaði sig fyrir vinnu á hverjum degi.
Read	110		Hann rakaði sig fyrir vinnu á hverjum degi.
Read	111		Kennarinn gaf mér nýja bók í gær.
Read	112		Bakarinn gaf mér nýtt brauð á hverjum degi.
Read	113		Lögfræðingurinn bauð mér nýja vinnu í síðustu viku.
Read	114		Leikarinn sendi mér löng bréf á hverjum degi.
Read	116		Kennarinn tók ekki strætisvagninn til vinnu í gær.
Read	117		Hann tók ekki strætisvagninn til vinnu í gær.
Read	120		Bakarinn kom ekki of seint á hverjum degi í síðustu viku.
Read	121		Hann kom ekki of seint á hverjum degi í síðustu viku.
Read	122		Nemandinn fór ekki heim til foreldra sinna í fyrra.
Read	123		Hann fór ekki heim til foreldra sinna í fyrra.
Read	124		Lögfræðingurinn fann ekki lyklana að skrifstofunni í gær.
Read	125		Hann fann ekki lyklana að skrifstofunni í gær.
Read	126		Nýi nemandinn tók til í eldhúsinu í gær.
Read	127		Hann tók til í eldhúsinu í gær.
Read	128		Besti hlauparinn gafst upp í síðustu umferðinni í fyrra.
Read	129		Hann gafst upp í síðustu umferðinni í fyrra.
Read	133		Hann tróð upp fyrir vinnufélaga sína í gær.
Read	134		Nýi nemandinn fór út á lífið í gær.
Read	135		Þrjú málverk duttu niður í stóra salnum í gær.
Read	136		Tvö hús fuðruðu upp í eldsvoðanum í gær.
Read	171		Kennarinn þurrkaði af borðinu eftir kvöldmatinn.
Read	172		Bakarinn tók af borðinu eftir morgunmatinn.
Read	201		Nemandinn mun fara út á lífið á hverju kvöldi.
Read	202		Hann mun fara út á lífið á hverju kvöldi.
Read	203		Hlauparinn mun gefast upp í síðustu umferðinni.
Read	204		Hann mun gefast upp í síðustu umferðinni.
Read	205		Lögreglumaðurinn mun brotna niður við yfirheyrsluna.
Read	206		Hann mun brotna niður við yfirheyrsluna.
Read	207		Leikarinn mun troða upp fyrir vinnufélaga sína.
Read	208		Hann mun troða upp fyrir vinnufélaga sína.
Read	209		Nýi nemandinn fer að taka til í eldhúsinu.
Read	210		Hann fer að taka til í eldhúsinu.
Read	211		Hún mun ekki hjálpa mér með heimavinnuna.
Read	212		Hann fer ekki að bjóða mér nýja vinnu.
Read	213		Hann fer ekki að sýna mér nein atriði úr myndinni.
Read	214		Hann mun ekki gefa mér nýtt brauð.
Read	216		Lögreglumaðurinn fer ekki að raka sig með rakvél.
Read	217		Leikmaðurinn mun ekki finna sig í leiknum.
Read	218		Leikarinn fer ekki að snúa sér í  átt að áhorfendum.
Read	220		Hlauparinn mun ekki þvo sér eftir hlaupið.
Read	271		Hún mun ekki hjálpa nemandanum með heimavinnuna.
Read	272		Nemandinn mun ekki kaupa bókina.
Read	301		Nemandanum var kastað út af barnum af dyravörðunum.
Read	302		Honum var kastað út af barnum af dyravörðunum.
Read	303		Nemandanum var kastað út af dyravörðunum í gær.
Read	304		Honum var kastað út af dyravörðunum í gær.
Read	305		Vitninu var hleypt inn í salinn af dyravörðunum.
Read	306		Honum var hleypt inn í salinn af dyravörðunum.
Read	307		Vitninu var hleypt inn af dyravörðunum í gær.
Read	308		Honum var hleypt inn af dyravörðunum í gær.
Read	309		Málverkið var tekið niður af veggnum af ræstingakonunni.
Read	310		Það var tekið niður af veggnum af ræstingakonunni.
Read	311		Málverkið var tekið niður af ræstingakonunni.
Read	312		Það var tekið niður af ræstingakonunni í gær.
Read	313		Plakatið var hengt upp á dyrnar af kennaranum.
Read	314		Það var hengt upp á dyrnar af kennaranum.
Read	315		Plakatið var hengt upp af kennaranum í gær.
Read	316		Það var hengt upp af kennaranum í gær.
Read	317		Blaðið var fyllt út af nemandanum í gær.
Read	318		Það var fyllt út af nemandanum í gær.
Read	319		Lagið var tekið upp af upptökumanninum.
Read	320		Það var tekið upp af upptökumanninum.
Read	321		Meðferðarheimilið var lagt niður af ríkinu.
Read	325		Lokið var skrúfað á af ræstingakonunni.
Read	326		Ræningjarnir voru ekki handteknir af lögreglunni í gær.
Read	327		Þeir voru ekki handteknir af lögreglunni í gær.
Read	328		Hann var ekki yfirheyrður af unga lögreglumanninum.
Read	329		Kalli var ekki yfirheyrður af unga lögreglumanninum.
Read	330		Hún var ekki skipuð yfirmaður af nýja forstjóranum.
Read	331		Konan var ekki skipuð yfirmaður af nýja forstjóranum.
Read	332		Hann var ekki gagnrýndur af vinnufélögunum á fundinum.
Read	333		Hann var ekki sleginn af ræningjunum.
Read	334		Gagnrýnandinn var ekki heillaður af nýju sýningunni.
Read	335		Hann var ekki heillaður af nýju sýningunni.
Read	336		Hann var ekki gagnrýndur af blaðamanninum fyrir ræðuna.
Read	370		Konunni var aldrei kastað út af barnum af dyravörðunum.
Read	371		Ræningjarnir voru líklega yfirheyrðir af unga lögreglumanninum.
Read	372		Leyndarmálið var grafið upp af unga blaðamanninum.
Produce	103	RS	Skyndilega sneri sér leikarinn í átt að áhorfendum.
Produce	103	SR	Skyndilega sneri leikarinn sér í átt að áhorfendum.
Produce	104	RS	Skyndilega sneri sér hann í átt að áhorfendum.
Produce	104	SR	Skyndilega sneri hann sér í átt að áhorfendum.
Produce	105	RS	Í gær þvoði sér bakarinn strax eftir vinnu. 
Produce	105	SR	Í gær þvoði bakarinn sér strax eftir vinnu. 
Produce	106	RS	Í gær þvoði sér hann strax eftir vinnu. 
Produce	106	SR	Í gær þvoði hann sér strax eftir vinnu. 
Produce	107	RS	Eftir fundinn lagði sig lögreglumaðurinn í sófanum.
Produce	107	SR	Eftir fundinn lagði lögreglumaðurinn sig í sófanum.
Produce	108	RS	Eftir fundinn lagði sig hún í sófanum.
Produce	108	SR	Eftir fundinn lagði hún sig í sófanum.
Produce	109	RS	Á hverjum degi rakaði sig lögfræðingurinn fyrir vinnu.
Produce	109	SR	Á hverjum degi rakaði lögfræðingurinn sig fyrir vinnu.
Produce	110	SR	Á hverjum degi rakaði hann sig fyrir vinnu.
Produce	110	RS	Á hverjum degi rakaði sig hann fyrir vinnu.
Produce	111	OS	Í gær gaf mér kennarinn nýja bók.
Produce	111	SO	Í gær gaf kennarinn mér nýja bók.
Produce	112	OS	Á hverjum degi gaf mér bakarinn nýtt brauð.
Produce	112	SO	Á hverjum degi gaf bakarinn mér nýtt brauð.
Produce	113	OS	Í síðustu viku bauð mér lögfræðingurinn nýja vinnu.
Produce	113	SO	Í síðustu viku bauð lögfræðingurinn mér nýja vinnu.
Produce	114	OS	Á hverjum degi sendi mér leikarinn löng bréf.
Produce	114	SO	Á hverjum degi sendi leikarinn mér löng bréf.
Produce	116	SN	Í gær tók kennarinn ekki strætisvagninn til vinnu.
Produce	116	NS	Í gær tók ekki kennarinn strætisvagninn til vinnu.
Produce	117	SN	Í gær tók hann ekki strætisvagninn til vinnu.
Produce	117	NS	Í gær tók ekki hann strætisvagninn til vinnu.
Produce	120	SN	Í síðustu viku kom bakarinn ekki of seint á hverjum degi.
Produce	120	NS	Í síðustu viku kom ekki bakarinn of seint á hverjum degi.
Produce	121	SN	Í síðustu viku kom hann ekki of seint á hverjum degi.
Produce	121	NS	Í síðustu viku kom ekki hann of seint á hverjum degi.
Produce	122	SN	Í fyrra fór nemandinn ekki heim til foreldra sinna.
Produce	122	NS	Í fyrra fór ekki nemandinn heim til foreldra sinna.
Produce	123	SN	Í fyrra fór hann ekki heim til foreldra sinna.
Produce	123	NS	Í fyrra fór ekki hann heim til foreldra sinna.
Produce	124	SN	Í gær fann lögfræðingurinn ekki lyklana að skrifstofunni.
Produce	124	NS	Í gær fann ekki lögfræðingurinn lyklana að skrifstofunni.
Produce	125	SN	Í gær fann hann ekki lyklana að skrifstofunni.
Produce	125	NS	Í gær fann ekki hann lyklana að skrifstofunni.
Produce	126	SP	Í gær tók nýi nemandinn til í eldhúsinu.
Produce	126	PS	Í gær tók til nýi nemandinn í eldhúsinu.
Produce	127	SP	Í gær tók hann til í eldhúsinu.
Produce	127	PS	Í gær tók til hann í eldhúsinu.
Produce	128	SP	Í fyrra gafst besti hlauparinn upp í síðustu umferðinni.
Produce	128	PS	Í fyrra gafst upp besti hlauparinn í síðustu umferðinni.
Produce	129	SP	Í fyrra gafst hann upp í síðustu umferðinni.
Produce	129	PS	Í fyrra gafst upp hann í síðustu umferðinni.
Produce	133	SP	Í gær tróð hann upp fyrir vinnufélaga sína.
Produce	133	PS	Í gær tróð upp hann fyrir vinnufélaga sína.
Produce	134	PS	Í gær fór út nýi nemandinn á lífið.
Produce	134	SP	Í gær fór nýi nemandinn út á lífið.
Produce	135	SP	Í gær duttu þrjú málverk niður í stóra salnum.
Produce	135	PS	Í gær duttu niður þrjú málverk í stóra salnum.
Produce	136	SP	Í gær fuðruðu tvö hús upp í eldsvoðanum.
Produce	136	PS	Í gær fuðruðu upp tvö hús í eldsvoðanum.
Produce	171	PS	Eftir kvöldmatinn þurrkaði af kennarinn borðinu.
Produce	171	SP	Eftir kvöldmatinn þurrkaði kennarinn af borðinu.
Produce	172	SP	Eftir morgunmatinn tók bakarinn af borðinu.
Produce	172	PS	Eftir morgunmatinn tók af bakarinn borðinu.
Produce	201	SP	Í fyrra fór nemandinn út á lífið á hverju kvöldi.
Produce	201	PS	Í fyrra fór út nemandinn á lífið á hverju kvöldi.
Produce	202	SP	Í fyrra fór hann út á lífið á hverju kvöldi.
Produce	202	PS	Í fyrra fór út hann á lífið á hverju kvöldi.
Produce	203	SP	Í fyrra gafst hlauparinn upp í síðustu umferðinni.
Produce	203	PS	Í fyrra gafst upp hlauparinn í síðustu umferðinni.
Produce	204	SP	Í fyrra gafst hann upp í síðustu umferðinni.
Produce	204	PS	Í fyrra gafst upp hann í síðustu umferðinni.
Produce	205	SP	Í gær brotnaði lögreglumaðurinn niður við yfirheyrsluna.
Produce	205	PS	Í gær brotnaði niður lögreglumaðurinn við yfirheyrsluna.
Produce	206	SP	Í gær brotnaði hann niður við yfirheyrsluna.
Produce	206	PS	Í gær brotnaði niður hann við yfirheyrsluna.
Produce	207	SP	Í gær tróð leikarinn upp fyrir vinnufélaga sína.
Produce	207	PS	Í gær tróð upp leikarinn fyrir vinnufélaga sína.
Produce	208	SP	Í gær tróð hann upp fyrir vinnufélaga sína.
Produce	208	PS	Í gær tróð upp hann fyrir vinnufélaga sína.
Produce	209	SP	Í gær tók nýi nemandinn til í eldhúsinu.
Produce	209	PS	Í gær tók til nýi nemandinn í eldhúsinu.
Produce	210	SP	Í gær tók hann til í eldhúsinu.
Produce	210	PS	Í gær tók til hann í eldhúsinu.
Produce	211	NOS	Í gær hjálpaði ekki mér hún með heimavinnuna.
Produce	211	NSO	Í gær hjálpaði ekki hún mér með heimavinnuna.
