number	item	subitem	name	Main1	Emb1	cond11	cond12	adv1
101	a	1	Páll	Ég legg mig alltaf á sófann í vinnunni.	Páll sag_i a_...	Bridge	Reflexive	oft
103	a	2	Ása	Ég mála mig aldrei um helgar.	Ása sag_i a_...	Bridge	Reflexive	aldrei
105	a	3	Páll	Ég raka mig alltaf á morgnana.	Páll sag_i a_...	Bridge	Reflexive	alltaf
107	a	4	Páll	Ég keyri alltaf í vinnuna.	Páll sag_i a_...	Bridge	NonReflexive	oft
109	a	5	Óli	Ég kem aldrei of seint í vinnuna.	Óli sag_i a_...	Bridge	NonReflexive	aldrei
111	a	6	Páll	Ég hlusta alltaf á útvarpi_ í bílnum.	Páll sag_i a_...	Bridge	NonReflexive	alltaf
201	a	7	Páll	Ég sef aldrei yfir mig á virkum dögum.	Páll er stoltur af a_...	Non-Bridge	Reflexive	aldrei
203	a	8	Óli	Ég fer yfirleitt a_ sofa fyrir mi_nætti.	Óli er stoltur af _ví a_ ...	Non-Bridge	Reflexive	oft
205	a	9	Páll	Ég haga mér alltaf vel í skólanum.	Páll er stoltur af a_...	Non-Bridge	Reflexive	alltaf
207	a	10	Óli	Ég fæ alltaf allt rétt á prófum.	Óli er stoltur af a_...	Non-Bridge	NonReflexive	alltaf
209	a	11	Páll	Ég hljóla oft í vinnuna.	Páll er stoltur af _ví a_...	Non-Bridge	NonReflexive	oft
211	a	12	Óli	Ég kem aldrei of seint í skólann.	Óli er stoltur af a_...	Non-Bridge	NonReflexive	aldrei
301	a	13	Páll	Leggur Óli sig alltaf á svarta sófann?	Páll spur_i hvort...	VtoI	Reflexive	alltaf
303	a	14	Óli	Reddar Páll sér alltaf í skólanum?	Óli spur_i hvort...	VtoI	Reflexive	oft
305	a	15	Páll	Rakar Óli sig aldrei á morgnana?	Páll spur_i hvort...	VtoI	Reflexive	aldrei
307	a	16	Óli	Hjólar Páll oft til vinnu?	Óli spur_i hvort...	VtoI	NonReflexive	alltaf
309	a	17	Páll	Kemur Ása oft of seint í skólann?	Páll spur_i hvort...	VtoI	NonReflexive	oft
311	a	18	Óli	Fer Ása aldrei í bæinn á laugardagskvöldum?	Óli spur_i hvort...	VtoI	NonReflexive	aldrei
102	b	1	Ása	Ég legg mig alltaf á sófann í vinnunni.	Ása sag_i a_...	Bridge	Reflexive	oft
104	b	2	Katrin	Ég mála mig aldrei um helgar.	Katrin sag_i a_...	Bridge	Reflexive	aldrei
106	b	3	Óli	Ég raka mig alltaf á morgnana.	Óli sag_i a_...	Bridge	Reflexive	alltaf
108	b	4	Ása	Ég keyri alltaf í vinnuna.	Ása sag_i a_...	Bridge	NonReflexive	oft
110	b	5	Katrin	Ég kem aldrei of seint í vinnuna.	Katrin sag_i a_...	Bridge	NonReflexive	aldrei
112	b	6	Ása	Ég hlusta alltaf á útvarpi_ í bílnum.	Ása sag_i a_...	Bridge	NonReflexive	alltaf
202	b	7	Ása	Ég sef aldrei yfir mig á virkum dögum.	Ása er stolt af a_...	Non-Bridge	Reflexive	aldrei
204	b	8	Katrin	Ég fer yfirleitt a_ sofa fyrir mi_nætti.	Katrin er stolt af _ví a_...	Non-Bridge	Reflexive	oft
206	b	9	Ása	Ég haga mér alltaf vel í skólanum.	Ása er stolt af a_...	Non-Bridge	Reflexive	alltaf
208	b	10	Katrin	Ég fæ alltaf allt rétt á prófum.	Katrin er stolt af a_...	Non-Bridge	NonReflexive	alltaf
