type	UniqueNumb	Word.order	Realization1
Read	101		Jeg setter meg ofte lengst bak i bussen.
Read	103		Jeg sminker meg aldri på hverdager.
Read	105		Jeg barberer meg alltid om morgenen.
Read	107		Jeg kjører ofte bil til jobb.
Read	109		Jeg kommer aldri for sent på jobb.
Read	111		Jeg hører alltid på radio i bilen.
Read	201		Jeg bekymrer meg aldri for småting.
Read	203		Jeg legger meg ofte innen midnatt.
Read	205		Jeg oppfører meg alltid bra på skolen.
Read	207		Jeg får ofte alt rett på prøver.
Read	209		Jeg sykler alltid til jobb.
Read	211		Jeg kommer aldri for seint på skolen.
Read	301		Setter Ole seg alltid fremst i klasserommet?
Read	303		Føler Pål seg ofte alene på skolen?
Read	305		Barberer Ole seg aldri om morgenen?
Read	307		Sykler Pål alltid til jobb?
Read	309		Kommer Marit ofte for sent på skolen?
Read	311		Drar Anne aldri ut på lørdager?
Read	401		Hvem var på festen i går kveld?
Read	403		Hvor mange elever kom i tide til forelesningen?
Read	405		Hvem vant kampen i går?
Read	407		Hva slags band spilte på festivalen i helgen?
Read	409		Hvor mange elever er det på denne skolen?
Read	411		Hvem har gjort det?
Read	501		Hva kjøpte Marit i butikken?
Read	503		Når kom Anne hjem i går?
Read	505		Hvor mange fisker fikk Einar?
Read	507		Hvilke filmer så Pål i går?
Read	509		Hva slags fugl var det?
Read	511		Hvor skal Anne på ferie?
Read	601		Jeg har glemt nøklene mine hjemme.
Read	603		Pål har vært syk hele uken.
Read	605		Turen i morgen er avlyst.
Read	607		Tyskland er større enn Frankrike.
Read	609		Månen er laget av ost.
Read	611		Det har vært mange turister i Lofoten i sommer.
Produce	101	AV	Pål sier at han ofte setter seg lengst bak i bussen.
Produce	103	AV	Anne sier at hun aldri sminker seg på hverdager.
Produce	105	AV	Pål sier at han alltid barberer seg om morgenen.
Produce	107	AV	Pål sier at han ofte kjører bil til jobb.
Produce	109	AV	Ole sier at han aldri kommer for sent på jobb.
Produce	111	AV	Pål sier at han alltid hører på radio i bilen.
Produce	201	AV	Pål er stolt av at han aldri bekymrer seg for småting.
Produce	203	AV	Ole er stolt av at han ofte legger seg innen midnatt.
Produce	205	AV	Pål er stolt av at han alltid oppfører seg bra på skolen.
Produce	207	AV	Ole er stolt av at han ofte får alt rett på prøver.
Produce	209	AV	Pål er stolt av at han alltid sykler til jobb.
Produce	211	AV	Ole er stolt av at han aldir kommer for seint på skolen.
Produce	301	AV	Pål spurte om Ole alltid setter seg fremst i klasserommet.
Produce	303	AV	Ole spurte om Pål ofte føler seg alene på skolen.
Produce	305	AV	Pål spurte om Ole aldri barberer seg om morgenen.
Produce	307	AV	Ole spurte om Pål alltid sykler til jobb.
Produce	309	AV	Pål spurte om Marit ofte kommer for sent på skolen.
Produce	311	AV	Ole spurte om Anne aldri drar ut på lørdager.
Produce	101	VA	Pål sier at han setter seg ofte lengst bak i bussen.
