type	UniqueNumb	Word.order	Realization1
Read	113	SO	Förra veckan erbjöd advokaten mig ett nytt jobb.
Read	112	SO	Varje dag gav bagaren mig färkt bröd
Read	111	SO	Igår gav läraren mig en ny bok
Read	115	SO	Efter mötet visade polisen mig en bild av gärningsmannen
Read	114	SO	Varje dag skickade skådespelaren mig långa brev
Read	128	SP	Förra året gav den bästa löparen upp under sista varvet.
Read	126	SP	Igår drack bagaren upp den sista ölen
Read	130	SP	Igår bröt den unga polisen ihop under förhöret
Read	132	SP	Igår svimmade den unga skådespelaren av under föreställningen
Read	131	SP	Igår bröt han ihop under förhöret
Read	127	SP	Igår drack han upp den sista ölen
Read	134	SP	Igår svimmade han av under föreställningen
Read	129	SP	Förra året gav hon upp under sista varvet
Read	133	SP	Igår ramlade tre tavlor ner i den stora salen
Read	135	SP	Igår brann två hus ner i Oslo
Read	109	SR	Varje dag rakade advokaten sig efter jobbet
Read	105	SR	Igår tvättade bagaren sig direkt efter jobbet
Read	110	SR	Varje dag rakade han sig efter jobbet
Read	102	SR	Igår ställde han sig på bordet
Read	106	SR	Igår tvättade han sig direkt efter jobbet
Read	108	SR	Efter mötet satte hon sig i den andra bilen
Read	104	SR	Plötsligt vände hon sig mot publiken
Read	101	SR	Igår ställde läraren sig på bordet
Read	107	SR	Efter mötet satte polisen sig i den andra bilen
Read	103	SR	Plötsligt vände skådespelaren sig mot publiken
Read	124	SN	Igår hittade advokaten inte nycklarna till kontoret
Read	120	SN	I måndags kom bagaren inte för sent till jobbet
Read	136	SN	Igår tog den gamla bagaren inte bussen till jobbet
Read	125	SN	Igår hittade han inte nycklarna till kontoret
Read	121	SN	I måndags kom han inte för sent
Read	117	SN	Igår tog hon inte bussen till jobbet
Read	119	SN	Igår väntade hon inte på sin kollega
Read	123	SN	I fjol åkte hon inte hem till sina föräldrar
Read	116	SN	Igår tog läraren inte bussen till jobbet
Read	118	SN	Igår väntade polisen inte på sin kollega
Read	122	SN	I fjol åkte studenten inte hem till sina föräldrar
Read	113	OS	Förra veckan erbjöd mig advokaten ett nytt jobb.
Read	112	OS	Varje dag gav mig bagaren färskt bröd
Read	111	OS	Igår gav mig läraren en ny bok
Read	115	OS	Efter mötet visade mig polisen en bild av gärningsmannen
Read	114	OS	Varje dag skickade mig skådespelaren långa brev
Read	128	PS	Förra året gav den upp bästa löparen under sista varvet.
Read	126	PS	Igår drack upp bagaren den sista ölen
Read	130	PS	Igår bröt ihop den unga polisen under förhöret
Read	132	PS	Igår svimmade av den unga skådespelaren under föreställningen
Read	131	PS	Igår bröt ihp han under förhöret
Read	127	PS	Igår drack upp han den sista ölen
Read	134	PS	Igår svimmade av han under föreställningen
Read	129	PS	Förra året gav hon upp under sista varvet
Read	133	PS	Igår ramlade ner tre tavlor i den stora salen
Read	135	PS	Igår brann ner två hus i Oslo
Read	109	RS	Varje dag rakade sig advokaten efter jobbet
Read	105	RS	Igår tvättade sig bagaren direkt efter jobbet
Read	110	RS	Varje dag rakade sig han efter jobbet
Read	102	RS	Igår ställde sig han på bordet
Read	106	RS	Igår tvättade sig han direkt efter jobbet
Read	108	RS	Efter mötet satte sig hon i den andra bilen
Read	104	RS	Plötsligt vände sig hon mot publiken
Read	101	RS	Igår ställde sig läraren på bordet
Read	107	RS	Efter mötet satte sig polisen i den andra bilen
Read	103	RS	Plötsligt vände sig skådespelaren mot publiken
Read	124	NS	Igår hittade inte advokaten nycklarna till kontoret
Read	120	NS	I måndags kom inte bagaren för sent till jobbet
Read	136	NS	Igår tog inte den gamla bagaren bussen till jobbet
Read	125	NS	Igår hittade inte han nycklarna till kontoret
Read	121	NS	I måndags kom inte han för sent
Read	117	NS	Igår tog inte hon bussen till jobbet
Read	119	NS	Igår väntade inte hon på sin kollega
Read	123	NS	I fjol åkte inte hon hem till sina föräldrar
Read	116	NS	Igår tog inte läraren bussen till jobbet
Read	118	NS	Igår väntade inte polisen på sin kollega
Read	122	NS	I fjol åkte inte studenten hem till sina föräldrar
Produce	113		Advokaten erbjöd mig ett nytt jobb förra veckan.
Produce	112		Bagaren gav mig färskt bröd varje dag.
Produce	111		Läraren gav mig en ny bok igår.
Produce	115		Polisen visade mig en bild av gärningsmannen efter mötet.
Produce	114		Skådespelaren skickade mig långa brev varje dag.
Produce	128		Den bästa löparen gav upp under sista varvet förra året.
Produce	126		Den gamla bagaren drack upp den sista ölen igår.
Produce	130		Den unga polisen bröt ihop under förhöret igår.
Produce	132		Den unga skådespelaren svimmade av under föreställningen igår.
Produce	131		Han bröt ihop under förhöret igår.
Produce	127		Han drack upp den sista ölen igår.
Produce	134		Han svimmade av under föreställningen igår.
Produce	129		Hon gav upp under sista varvet förra året.
Produce	133		Tre tavlor ramlade ner i den stora salen igår.
Produce	135		Två hus brann ner i Oslo igår.
Produce	109		Advokaten rakade sig efter jobbet varje dag.
Produce	105		Bagaren tvättade sig direkt efter jobbet igår.
Produce	110		Han rakade sig efter jobbet varje dag.
Produce	102		Han ställde sig på bordet igår.
Produce	106		Han tvättade sig direkt efter jobbet igår.
Produce	108		Hon satte sig i den andra bilen efter mötet.
Produce	104		Hon vände sig plötsligt mot publiken.
Produce	101		Läraren ställde sig på bordet igår.
Produce	107		Polisen satte sig i den andra bilen efter mötet.
Produce	103		Skådespelaren vände sig plötsligt mot publiken.
Produce	124		Advokaten hittade inte nycklarna till kontoret igår.
Produce	120		Bagaren kom inte för sent i måndags.
Produce	136		Den gamla bagaren tog inte bussen till jobbet igår.
Produce	125		Han hittade inte nycklarna till kontoret igår.
Produce	121		Han kom inte för sent i måndags.
Produce	117		Hon tog inte bussen till jobbet igår.
Produce	119		Hon väntade inte på sin kollega igår.
Produce	123		Hon åkte inte hem till sina föräldrar i fjol.
Produce	116		Läraren tog inte bussen till jobbet igår.
Produce	118		Polisen väntade inte på sin kollega igår.
Produce	122		Studenten åkte inte hem till sina föräldrar i fjol.
Produce	201	SP	I går drack bagaren upp den sista ölen
Produce	202	SP	I går drack han upp den sista ölen
Produce	203	SP	I fjol gav löparen upp under sista varvet
Produce	204	SP	I fjol gav han upp under sista varvet
Produce	205	SP	Igår bröt polisen ihop under förhöret
Produce	206	SP	I fjol bröt han ihop under förhöret
