number	item	subitem	name	Main1	Emb1	cond11	cond12	adv1			
101	1	a	Kalle:	Jag sätter mig ofta längst bak i bussen.	Kalle sa att...	Bridge	Reflexive	ofta			
102	1	b	Lisa:	Jag sätter mig ofta längst bak i bussen.	Lisa sa att...	Bridge	Reflexive	ofta			
103	2	a	Lena:	Jag sminkar mig aldrig på vardagar.	Lena sa att...	Bridge	Reflexive	aldrig			
104	2	b	Karin:	Jag sminkar mig aldrig på vardagar.	Karin sa att...	Bridge	Reflexive	aldrig			
105	3	a	Erik:	Jag rakar mig aldrig på morgonen.	Erik sa att...	Bridge	Reflexive	alltid			
106	3	b	Peter:	Jag rakar mig aldrig på morgonen.	Peter sa att...	Bridge	Reflexive	alltid			
107	4	a	Erik:	Jag kör ofta bil till jobbet.	Erik sa att...	Bridge	NonReflexive	ofta			
108	4	b	Lena:	Jag kör ofta bil till jobbet.	Lena sa att...	Bridge	NonReflexive	ofta			
109	5	a	Peter:	Jag kommer aldrig för sent till jobbet.	Peter sa att...	Bridge	NonReflexive	aldrig			
110	5	b	Karin:	Jag kommer aldrig för sent till jobbet.	Karin sa att...	Bridge	NonReflexive	aldrig			
111	6	a	Erik:	Jag lyssnar alltid på radio i bilen.	Erik sa att...	Bridge	NonReflexive	alltid			
112	6	b	Lena:	Jag lyssnar alltid på radio i bilen.	Lena sa att...	Bridge	NonReflexive	alltid			
201	7	a	Erik:	Jag bekymrar mig aldrig över småsaker!	Erik är stolt över att...	Non-Bridge	Reflexive	aldrig			
202	7	b	Lena:	Jag bekymrar mig aldrig över småsaker!	Lena är stolt över att...	Non-Bridge	Reflexive	aldrig			
203	8	a	Johan:	Jag lägger mig ofta innan midnatt!	Johan är stolt över att...	Non-Bridge	Reflexive	ofta			
204	8	b	Maria:	Jag lägger mig ofta innan midnatt!	Maria är stolt över att...	Non-Bridge	Reflexive	ofta			
205	9	a	Kalle:	Jag uppför mig alltid bra i skolan!	Kalle är stolt över att...	Non-Bridge	Reflexive	alltid			
206	9	b	Lisa:	Jag uppför mig alltid bra i skolan!	Lisa är stolt över att...	Non-Bridge	Reflexive	alltid			
207	10	a	Johan:	Jag får ofta alla rätt på proven!	Johan är stolt över att...	Non-Bridge	NonReflexive	ofta			
208	10	b	Maria:	Jag får ofta alla rätt på proven!	Maria är stolt över att...	Non-Bridge	NonReflexive	ofta			
209	11	a	Erik:	Jag cyklar alltid till jobbet!	Erik är stolt över att...	Non-Bridge	NonReflexive	alltid			
210	11	b	Lena:	Jag cyklar alltid till jobbet!	Lena är stolt över att...	Non-Bridge	NonReflexive	alltid			
211	12	a	Johan:	Jag kommer aldrig för sent till skolan! 	Johan är stolt över att...	Non-Bridge	NonReflexive	aldrig			
212	12	b	Maria:	Jag kommer aldrig för sent till skolan! 	Maria är stolt över att...	Non-Bridge	NonReflexive	aldrig			
